id,name,brand,price,category,description,sku,stock_quantity,size,concentration,image_url,rating,reviews_count,in_stock,created_at,updated_at,is_featured,fragrance_profile,fragrance_notes
453,212 Woman – Eau de Parfum floral femenino,Zachary Perfumes,779.00,women,"Fragancia sofisticada y moderna, con un aroma fresco y floral que captura la esencia de la elegancia urbana. Inspirada en 212 WOMAN de Carolina Herrera.",ZP1W-30ML,50,30ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:22.376228,2025-07-25 01:34:22.376228,false,"[""Flor de azahar del naranjo"",""flor de cactus"",""bergamota"",""mandarina""]","{""top"":[],""base"":[],""middle"":[]}"
454,212 Woman – Eau de Parfum floral femenino,Zachary Perfumes,1039.00,women,"Fragancia sofisticada y moderna, con un aroma fresco y floral que captura la esencia de la elegancia urbana. Inspirada en 212 WOMAN de Carolina Herrera.",ZP1W-50ML,30,50ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:22.514306,2025-07-25 01:34:22.514306,false,"[""Flor de azahar del naranjo"",""flor de cactus"",""bergamota"",""mandarina""]","{""top"":[],""base"":[],""middle"":[]}"
455,212 Woman – Eau de Parfum floral femenino,Zachary Perfumes,1299.00,women,"Fragancia sofisticada y moderna, con un aroma fresco y floral que captura la esencia de la elegancia urbana. Inspirada en 212 WOMAN de Carolina Herrera.",ZP1W-100ML,20,100ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:22.648742,2025-07-25 01:34:22.648742,false,"[""Flor de azahar del naranjo"",""flor de cactus"",""bergamota"",""mandarina""]","{""top"":[],""base"":[],""middle"":[]}"
456,212 Sexy Woman – Eau de Parfum oriental floral femenino,Zachary Perfumes,839.00,women,"Fragancia seductora y envolvente, con un aroma dulce y especiado que deja una impresión duradera. Inspirada en 212 SEXY WOMAN de Carolina Herrera.",ZP2W-30ML,50,30ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:22.75972,2025-07-25 01:34:22.75972,false,"[""Pimienta rosa"",""mandarina"",""bergamota"",""algodón de azúcar""]","{""top"":[],""base"":[],""middle"":[]}"
457,212 Sexy Woman – Eau de Parfum oriental floral femenino,Zachary Perfumes,1119.00,women,"Fragancia seductora y envolvente, con un aroma dulce y especiado que deja una impresión duradera. Inspirada en 212 SEXY WOMAN de Carolina Herrera.",ZP2W-50ML,30,50ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:22.888708,2025-07-25 01:34:22.888708,false,"[""Pimienta rosa"",""mandarina"",""bergamota"",""algodón de azúcar""]","{""top"":[],""base"":[],""middle"":[]}"
458,212 Sexy Woman – Eau de Parfum oriental floral femenino,Zachary Perfumes,1399.00,women,"Fragancia seductora y envolvente, con un aroma dulce y especiado que deja una impresión duradera. Inspirada en 212 SEXY WOMAN de Carolina Herrera.",ZP2W-100ML,20,100ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:23.018113,2025-07-25 02:53:11.120066,false,"[""Pimienta rosa"",""mandarina"",""bergamota"",""algodón de azúcar""]","{""top"":[],""base"":[],""middle"":[]}"
459,212 VIP Woman – Eau de Parfum oriental floral femenino,Zachary Perfumes,899.00,women,"Fragancia vibrante y sofisticada, con un aroma exótico y envolvente que combina glamour y exclusividad. Inspirada en 212 VIP WOMAN de Carolina Herrera.",ZP3W-30ML,50,30ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:23.154902,2025-07-25 02:53:10.41226,false,"[""Ron"",""maracuyá"",""gardenia"",""almizcle""]","{""top"":[],""base"":[],""middle"":[]}"
460,212 VIP Woman – Eau de Parfum oriental floral femenino,Zachary Perfumes,1199.00,women,"Fragancia vibrante y sofisticada, con un aroma exótico y envolvente que combina glamour y exclusividad. Inspirada en 212 VIP WOMAN de Carolina Herrera.",ZP3W-50ML,30,50ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:23.293269,2025-07-25 02:53:09.691168,false,"[""Ron"",""maracuyá"",""gardenia"",""almizcle""]","{""top"":[],""base"":[],""middle"":[]}"
461,212 VIP Woman – Eau de Parfum oriental floral femenino,Zachary Perfumes,1499.00,women,"Fragancia vibrante y sofisticada, con un aroma exótico y envolvente que combina glamour y exclusividad. Inspirada en 212 VIP WOMAN de Carolina Herrera.",ZP3W-100ML,20,100ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:23.481739,2025-07-25 01:34:23.481739,false,"[""Ron"",""maracuyá"",""gardenia"",""almizcle""]","{""top"":[],""base"":[],""middle"":[]}"
462,212 VIP Rose Woman – Eau de Parfum floral frutal femenino,Zachary Perfumes,959.00,women,"Fragancia sofisticada y moderna, que combina la frescura del champagne rosé con la calidez de las notas amaderadas. Inspirada en 212 VIP ROSE WOMAN de Carolina Herrera.",ZP4W-30ML,50,30ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:23.60546,2025-07-25 01:34:23.60546,false,"[""Champagne rosé"",""pimienta rosa"",""flor del duraznero"",""rosa""]","{""top"":[],""base"":[],""middle"":[]}"
463,212 VIP Rose Woman – Eau de Parfum floral frutal femenino,Zachary Perfumes,1279.00,women,"Fragancia sofisticada y moderna, que combina la frescura del champagne rosé con la calidez de las notas amaderadas. Inspirada en 212 VIP ROSE WOMAN de Carolina Herrera.",ZP4W-50ML,30,50ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:23.734972,2025-07-25 01:34:23.734972,false,"[""Champagne rosé"",""pimienta rosa"",""flor del duraznero"",""rosa""]","{""top"":[],""base"":[],""middle"":[]}"
464,212 VIP Rose Woman – Eau de Parfum floral frutal femenino,Zachary Perfumes,1599.00,women,"Fragancia sofisticada y moderna, que combina la frescura del champagne rosé con la calidez de las notas amaderadas. Inspirada en 212 VIP ROSE WOMAN de Carolina Herrera.",ZP4W-100ML,20,100ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:23.88375,2025-07-25 01:34:23.88375,false,"[""Champagne rosé"",""pimienta rosa"",""flor del duraznero"",""rosa""]","{""top"":[],""base"":[],""middle"":[]}"
465,Acqua di Gio Woman – Eau de Parfum floral acuático femenino,Zachary Perfumes,1019.00,women,"Fragancia sofisticada y fresca, inspirada en la frescura del mar y la delicadeza de las flores. Inspirada en ACQUA DI GIO WOMAN de Giorgio Armani.",ZP5W-30ML,50,30ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:24.020688,2025-07-25 02:53:07.890846,false,"[""Peonía"",""vodka con sabor a dulces de musk"",""piña"",""limón""]","{""top"":[],""base"":[],""middle"":[]}"
466,Acqua di Gio Woman – Eau de Parfum floral acuático femenino,Zachary Perfumes,1359.00,women,"Fragancia sofisticada y fresca, inspirada en la frescura del mar y la delicadeza de las flores. Inspirada en ACQUA DI GIO WOMAN de Giorgio Armani.",ZP5W-50ML,30,50ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:24.138214,2025-07-25 01:34:24.138214,false,"[""Peonía"",""vodka con sabor a dulces de musk"",""piña"",""limón""]","{""top"":[],""base"":[],""middle"":[]}"
467,Acqua di Gio Woman – Eau de Parfum floral acuático femenino,Zachary Perfumes,1699.00,women,"Fragancia sofisticada y fresca, inspirada en la frescura del mar y la delicadeza de las flores. Inspirada en ACQUA DI GIO WOMAN de Giorgio Armani.",ZP5W-100ML,20,100ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:24.288297,2025-07-25 01:34:24.288297,false,"[""Peonía"",""vodka con sabor a dulces de musk"",""piña"",""limón""]","{""top"":[],""base"":[],""middle"":[]}"
468,Amor Amor Woman – Eau de Parfum floral afrutado femenino,Zachary Perfumes,719.00,women,"Fragancia vibrante y seductora, que captura la esencia del amor joven con notas florales y afrutadas. Inspirada en AMOR AMOR WOMAN de Cacharel.",ZP7W-30ML,50,30ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:24.433328,2025-07-25 01:34:24.433328,false,"[""Grosellas negras"",""naranja"",""mandarina"",""pomelo""]","{""top"":[],""base"":[],""middle"":[]}"
469,Amor Amor Woman – Eau de Parfum floral afrutado femenino,Zachary Perfumes,959.00,women,"Fragancia vibrante y seductora, que captura la esencia del amor joven con notas florales y afrutadas. Inspirada en AMOR AMOR WOMAN de Cacharel.",ZP7W-50ML,30,50ml,Eau de Parfum,/images/sillapM.jpg,0.00,0,true,2025-07-25 01:34:24.581212,2025-07-25 01:34:24.581212,false,"[""Grosellas negras"",""naranja"",""mandarina"",""pomelo""]","{""top"":[],""base"":[],""middle"":[]}"
